,geo_type,country,region,transportation_type,date,Value
1,city,Ireland,Dublin,driving,2020-01-13,100.0
2,city,Ireland,Dublin,driving,2020-01-14,112.58
3,city,Ireland,Dublin,driving,2020-01-15,113.1
4,city,Ireland,Dublin,driving,2020-01-16,131.58
5,city,Ireland,Dublin,driving,2020-01-17,130.35
6,city,Ireland,Dublin,driving,2020-01-18,128.89
7,city,Ireland,Dublin,driving,2020-01-19,109.91
8,city,Ireland,Dublin,driving,2020-01-20,117.02
9,city,Ireland,Dublin,driving,2020-01-21,118.94
10,city,Ireland,Dublin,driving,2020-01-22,120.24
11,city,Ireland,Dublin,driving,2020-01-23,121.21
12,city,Ireland,Dublin,driving,2020-01-24,133.69
13,city,Ireland,Dublin,driving,2020-01-25,138.86
14,city,Ireland,Dublin,driving,2020-01-26,108.45
15,city,Ireland,Dublin,driving,2020-01-27,109.61
16,city,Ireland,Dublin,driving,2020-01-28,114.06
17,city,Ireland,Dublin,driving,2020-01-29,120.75
18,city,Ireland,Dublin,driving,2020-01-30,123.3
19,city,Ireland,Dublin,driving,2020-01-31,145.1
20,city,Ireland,Dublin,driving,2020-02-01,147.94
21,city,Ireland,Dublin,driving,2020-02-02,110.24
22,city,Ireland,Dublin,driving,2020-02-03,109.21
23,city,Ireland,Dublin,driving,2020-02-04,117.32
24,city,Ireland,Dublin,driving,2020-02-05,118.87
25,city,Ireland,Dublin,driving,2020-02-06,124.21
26,city,Ireland,Dublin,driving,2020-02-07,144.66
27,city,Ireland,Dublin,driving,2020-02-08,150.04
28,city,Ireland,Dublin,driving,2020-02-09,100.98
29,city,Ireland,Dublin,driving,2020-02-10,110.05
30,city,Ireland,Dublin,driving,2020-02-11,115.38
31,city,Ireland,Dublin,driving,2020-02-12,122.37
32,city,Ireland,Dublin,driving,2020-02-13,126.63
33,city,Ireland,Dublin,driving,2020-02-14,152.63
34,city,Ireland,Dublin,driving,2020-02-15,137.65
35,city,Ireland,Dublin,driving,2020-02-16,115.1
36,city,Ireland,Dublin,driving,2020-02-17,124.19
37,city,Ireland,Dublin,driving,2020-02-18,127.88
38,city,Ireland,Dublin,driving,2020-02-19,131.93
39,city,Ireland,Dublin,driving,2020-02-20,138.11
40,city,Ireland,Dublin,driving,2020-02-21,152.37
41,city,Ireland,Dublin,driving,2020-02-22,136.4
42,city,Ireland,Dublin,driving,2020-02-23,104.42
43,city,Ireland,Dublin,driving,2020-02-24,112.62
44,city,Ireland,Dublin,driving,2020-02-25,114.15
45,city,Ireland,Dublin,driving,2020-02-26,121.72
46,city,Ireland,Dublin,driving,2020-02-27,130.12
47,city,Ireland,Dublin,driving,2020-02-28,143.42
48,city,Ireland,Dublin,driving,2020-02-29,132.95
49,city,Ireland,Dublin,driving,2020-03-01,111.09
50,city,Ireland,Dublin,driving,2020-03-02,121.74
51,city,Ireland,Dublin,driving,2020-03-03,126.73
52,city,Ireland,Dublin,driving,2020-03-04,123.14
53,city,Ireland,Dublin,driving,2020-03-05,128.08
54,city,Ireland,Dublin,driving,2020-03-06,143.15
55,city,Ireland,Dublin,driving,2020-03-07,141.33
56,city,Ireland,Dublin,driving,2020-03-08,117.88
57,city,Ireland,Dublin,driving,2020-03-09,119.57
58,city,Ireland,Dublin,driving,2020-03-10,109.79
59,city,Ireland,Dublin,driving,2020-03-11,103.96
60,city,Ireland,Dublin,driving,2020-03-12,93.02
61,city,Ireland,Dublin,driving,2020-03-13,86.4
62,city,Ireland,Dublin,driving,2020-03-14,72.72
63,city,Ireland,Dublin,driving,2020-03-15,57.46
64,city,Ireland,Dublin,driving,2020-03-16,52.71
65,city,Ireland,Dublin,driving,2020-03-17,47.04
66,city,Ireland,Dublin,driving,2020-03-18,44.72
67,city,Ireland,Dublin,driving,2020-03-19,45.18
68,city,Ireland,Dublin,driving,2020-03-20,48.53
69,city,Ireland,Dublin,driving,2020-03-21,41.25
70,city,Ireland,Dublin,driving,2020-03-22,42.24
71,city,Ireland,Dublin,driving,2020-03-23,37.19
72,city,Ireland,Dublin,driving,2020-03-24,36.06
73,city,Ireland,Dublin,driving,2020-03-25,35.31
74,city,Ireland,Dublin,driving,2020-03-26,34.98
75,city,Ireland,Dublin,driving,2020-03-27,50.84
76,city,Ireland,Dublin,driving,2020-03-28,28.35
77,city,Ireland,Dublin,driving,2020-03-29,19.65
78,city,Ireland,Dublin,driving,2020-03-30,21.67
79,city,Ireland,Dublin,driving,2020-03-31,22.5
80,city,Ireland,Dublin,driving,2020-04-01,23.19
81,city,Ireland,Dublin,driving,2020-04-02,23.46
82,city,Ireland,Dublin,driving,2020-04-03,26.97
83,city,Ireland,Dublin,driving,2020-04-04,23.53
84,city,Ireland,Dublin,driving,2020-04-05,19.75
85,city,Ireland,Dublin,driving,2020-04-06,23.58
86,city,Ireland,Dublin,driving,2020-04-07,26.71
87,city,Ireland,Dublin,driving,2020-04-08,27.61
88,city,Ireland,Dublin,driving,2020-04-09,27.55
89,city,Ireland,Dublin,driving,2020-04-10,27.73
90,city,Ireland,Dublin,driving,2020-04-11,24.28
91,city,Ireland,Dublin,driving,2020-04-12,17.0
92,city,Ireland,Dublin,driving,2020-04-13,19.97
93,city,Ireland,Dublin,driving,2020-04-14,24.8
94,city,Ireland,Dublin,driving,2020-04-15,25.6
95,city,Ireland,Dublin,driving,2020-04-16,26.95
96,city,Ireland,Dublin,driving,2020-04-17,29.21
97,city,Ireland,Dublin,driving,2020-04-18,25.69
98,city,Ireland,Dublin,driving,2020-04-19,22.57
99,city,Ireland,Dublin,driving,2020-04-20,26.32
100,city,Ireland,Dublin,driving,2020-04-21,26.92
101,city,Ireland,Dublin,driving,2020-04-22,26.91
102,city,Ireland,Dublin,driving,2020-04-23,28.31
103,city,Ireland,Dublin,driving,2020-04-24,32.1
104,city,Ireland,Dublin,driving,2020-04-25,28.43
105,city,Ireland,Dublin,driving,2020-04-26,23.18
106,city,Ireland,Dublin,driving,2020-04-27,27.4
107,city,Ireland,Dublin,driving,2020-04-28,29.21
108,city,Ireland,Dublin,driving,2020-04-29,27.97
109,city,Ireland,Dublin,driving,2020-04-30,29.49
110,city,Ireland,Dublin,driving,2020-05-01,42.88
111,city,Ireland,Dublin,driving,2020-05-02,35.56
112,city,Ireland,Dublin,driving,2020-05-03,28.83
113,city,Ireland,Dublin,driving,2020-05-04,31.03
114,city,Ireland,Dublin,driving,2020-05-05,37.1
115,city,Ireland,Dublin,driving,2020-05-06,37.35
116,city,Ireland,Dublin,driving,2020-05-07,35.54
117,city,Ireland,Dublin,driving,2020-05-08,40.49
118,city,Ireland,Dublin,driving,2020-05-09,39.43
119,city,Ireland,Dublin,driving,2020-05-10,28.81
120,city,Ireland,Dublin,driving,2020-05-13,36.31
121,city,Ireland,Dublin,driving,2020-05-14,37.29
122,city,Ireland,Dublin,driving,2020-05-15,42.23
123,city,Ireland,Dublin,driving,2020-05-16,40.77
124,city,Ireland,Dublin,driving,2020-05-17,37.4
125,city,Ireland,Dublin,driving,2020-05-18,43.86
126,city,Ireland,Dublin,driving,2020-05-19,47.83
127,city,Ireland,Dublin,driving,2020-05-20,55.19
128,city,Ireland,Dublin,driving,2020-05-21,49.9
129,city,Ireland,Dublin,driving,2020-05-22,50.23
130,city,Ireland,Dublin,driving,2020-05-23,49.82
131,city,Ireland,Dublin,driving,2020-05-24,47.4
132,city,Ireland,Dublin,driving,2020-05-25,52.21
133,city,Ireland,Dublin,driving,2020-05-26,52.28
134,city,Ireland,Dublin,driving,2020-05-27,55.12
135,city,Ireland,Dublin,driving,2020-05-28,60.5
136,city,Ireland,Dublin,driving,2020-05-29,63.2
137,city,Ireland,Dublin,driving,2020-05-30,57.22
138,city,Ireland,Dublin,driving,2020-05-31,51.18
139,city,Ireland,Dublin,driving,2020-06-01,58.52
140,city,Ireland,Dublin,driving,2020-06-02,63.15
141,city,Ireland,Dublin,driving,2020-06-03,53.4
142,city,Ireland,Dublin,driving,2020-06-04,55.4
143,city,Ireland,Dublin,driving,2020-06-05,61.14
144,city,Ireland,Dublin,driving,2020-06-06,55.25
145,city,Ireland,Dublin,driving,2020-06-07,52.17
146,city,Ireland,Dublin,driving,2020-06-08,66.09
147,city,Ireland,Dublin,driving,2020-06-09,63.96
148,city,Ireland,Dublin,driving,2020-06-10,62.88
149,city,Ireland,Dublin,driving,2020-06-11,63.68
150,city,Ireland,Dublin,driving,2020-06-12,68.77
151,city,Ireland,Dublin,driving,2020-06-13,71.22
152,city,Ireland,Dublin,driving,2020-06-14,66.69
153,city,Ireland,Dublin,transit,Unnamed: 0,354.0
154,city,Ireland,Dublin,transit,2020-01-13,100.0
155,city,Ireland,Dublin,transit,2020-01-14,100.05
156,city,Ireland,Dublin,transit,2020-01-15,105.79
157,city,Ireland,Dublin,transit,2020-01-16,108.98
158,city,Ireland,Dublin,transit,2020-01-17,117.67
159,city,Ireland,Dublin,transit,2020-01-18,114.8
160,city,Ireland,Dublin,transit,2020-01-19,111.24
161,city,Ireland,Dublin,transit,2020-01-20,110.54
162,city,Ireland,Dublin,transit,2020-01-21,107.78
163,city,Ireland,Dublin,transit,2020-01-22,107.55
164,city,Ireland,Dublin,transit,2020-01-23,111.63
165,city,Ireland,Dublin,transit,2020-01-24,122.81
166,city,Ireland,Dublin,transit,2020-01-25,126.34
167,city,Ireland,Dublin,transit,2020-01-26,105.85
168,city,Ireland,Dublin,transit,2020-01-27,112.69
169,city,Ireland,Dublin,transit,2020-01-28,110.98
170,city,Ireland,Dublin,transit,2020-01-29,114.79
171,city,Ireland,Dublin,transit,2020-01-30,115.14
172,city,Ireland,Dublin,transit,2020-01-31,138.79
173,city,Ireland,Dublin,transit,2020-02-01,132.55
174,city,Ireland,Dublin,transit,2020-02-02,116.68
175,city,Ireland,Dublin,transit,2020-02-03,119.62
176,city,Ireland,Dublin,transit,2020-02-04,114.22
177,city,Ireland,Dublin,transit,2020-02-05,117.17
178,city,Ireland,Dublin,transit,2020-02-06,123.57
179,city,Ireland,Dublin,transit,2020-02-07,136.25
180,city,Ireland,Dublin,transit,2020-02-08,125.83
181,city,Ireland,Dublin,transit,2020-02-09,104.72
182,city,Ireland,Dublin,transit,2020-02-10,118.6
183,city,Ireland,Dublin,transit,2020-02-11,114.05
184,city,Ireland,Dublin,transit,2020-02-12,117.09
185,city,Ireland,Dublin,transit,2020-02-13,122.26
186,city,Ireland,Dublin,transit,2020-02-14,141.29
187,city,Ireland,Dublin,transit,2020-02-15,128.45
188,city,Ireland,Dublin,transit,2020-02-16,121.11
189,city,Ireland,Dublin,transit,2020-02-17,128.12
190,city,Ireland,Dublin,transit,2020-02-18,126.76
191,city,Ireland,Dublin,transit,2020-02-19,131.13
192,city,Ireland,Dublin,transit,2020-02-20,131.31
193,city,Ireland,Dublin,transit,2020-02-21,148.36
194,city,Ireland,Dublin,transit,2020-02-22,128.95
195,city,Ireland,Dublin,transit,2020-02-23,110.85
196,city,Ireland,Dublin,transit,2020-02-24,115.69
197,city,Ireland,Dublin,transit,2020-02-25,114.25
198,city,Ireland,Dublin,transit,2020-02-26,116.14
199,city,Ireland,Dublin,transit,2020-02-27,125.25
200,city,Ireland,Dublin,transit,2020-02-28,139.86
201,city,Ireland,Dublin,transit,2020-02-29,133.3
202,city,Ireland,Dublin,transit,2020-03-01,120.24
203,city,Ireland,Dublin,transit,2020-03-02,120.77
204,city,Ireland,Dublin,transit,2020-03-03,122.31
205,city,Ireland,Dublin,transit,2020-03-04,115.8
206,city,Ireland,Dublin,transit,2020-03-05,118.65
207,city,Ireland,Dublin,transit,2020-03-06,135.68
208,city,Ireland,Dublin,transit,2020-03-07,127.87
209,city,Ireland,Dublin,transit,2020-03-08,119.07
210,city,Ireland,Dublin,transit,2020-03-09,116.09
211,city,Ireland,Dublin,transit,2020-03-10,109.36
212,city,Ireland,Dublin,transit,2020-03-11,102.17
213,city,Ireland,Dublin,transit,2020-03-12,80.25
214,city,Ireland,Dublin,transit,2020-03-13,83.18
215,city,Ireland,Dublin,transit,2020-03-14,65.56
216,city,Ireland,Dublin,transit,2020-03-15,51.7
217,city,Ireland,Dublin,transit,2020-03-16,38.31
218,city,Ireland,Dublin,transit,2020-03-17,31.18
219,city,Ireland,Dublin,transit,2020-03-18,24.95
220,city,Ireland,Dublin,transit,2020-03-19,23.07
221,city,Ireland,Dublin,transit,2020-03-20,22.07
222,city,Ireland,Dublin,transit,2020-03-21,17.98
223,city,Ireland,Dublin,transit,2020-03-22,20.1
224,city,Ireland,Dublin,transit,2020-03-23,18.3
225,city,Ireland,Dublin,transit,2020-03-24,17.53
226,city,Ireland,Dublin,transit,2020-03-25,17.01
227,city,Ireland,Dublin,transit,2020-03-26,15.06
228,city,Ireland,Dublin,transit,2020-03-27,14.91
229,city,Ireland,Dublin,transit,2020-03-28,9.7
230,city,Ireland,Dublin,transit,2020-03-29,8.87
231,city,Ireland,Dublin,transit,2020-03-30,10.44
232,city,Ireland,Dublin,transit,2020-03-31,9.59
233,city,Ireland,Dublin,transit,2020-04-01,9.82
234,city,Ireland,Dublin,transit,2020-04-02,9.24
235,city,Ireland,Dublin,transit,2020-04-03,9.97
236,city,Ireland,Dublin,transit,2020-04-04,7.88
237,city,Ireland,Dublin,transit,2020-04-05,9.08
238,city,Ireland,Dublin,transit,2020-04-06,9.37
239,city,Ireland,Dublin,transit,2020-04-07,9.36
240,city,Ireland,Dublin,transit,2020-04-08,9.67
241,city,Ireland,Dublin,transit,2020-04-09,9.97
242,city,Ireland,Dublin,transit,2020-04-10,9.12
243,city,Ireland,Dublin,transit,2020-04-11,8.13
244,city,Ireland,Dublin,transit,2020-04-12,6.79
245,city,Ireland,Dublin,transit,2020-04-13,8.36
246,city,Ireland,Dublin,transit,2020-04-14,9.97
247,city,Ireland,Dublin,transit,2020-04-15,8.97
248,city,Ireland,Dublin,transit,2020-04-16,8.96
249,city,Ireland,Dublin,transit,2020-04-17,9.58
250,city,Ireland,Dublin,transit,2020-04-18,8.95
251,city,Ireland,Dublin,transit,2020-04-19,9.53
252,city,Ireland,Dublin,transit,2020-04-20,10.51
253,city,Ireland,Dublin,transit,2020-04-21,9.98
254,city,Ireland,Dublin,transit,2020-04-22,10.02
255,city,Ireland,Dublin,transit,2020-04-23,9.0
256,city,Ireland,Dublin,transit,2020-04-24,9.75
257,city,Ireland,Dublin,transit,2020-04-25,9.32
258,city,Ireland,Dublin,transit,2020-04-26,8.46
259,city,Ireland,Dublin,transit,2020-04-27,10.44
260,city,Ireland,Dublin,transit,2020-04-28,11.33
261,city,Ireland,Dublin,transit,2020-04-29,10.43
262,city,Ireland,Dublin,transit,2020-04-30,10.61
263,city,Ireland,Dublin,transit,2020-05-01,12.59
264,city,Ireland,Dublin,transit,2020-05-02,11.89
265,city,Ireland,Dublin,transit,2020-05-03,11.87
266,city,Ireland,Dublin,transit,2020-05-04,13.83
267,city,Ireland,Dublin,transit,2020-05-05,14.33
268,city,Ireland,Dublin,transit,2020-05-06,15.1
269,city,Ireland,Dublin,transit,2020-05-07,13.77
270,city,Ireland,Dublin,transit,2020-05-08,14.22
271,city,Ireland,Dublin,transit,2020-05-09,14.34
272,city,Ireland,Dublin,transit,2020-05-10,11.79
273,city,Ireland,Dublin,transit,2020-05-13,13.74
274,city,Ireland,Dublin,transit,2020-05-14,15.19
275,city,Ireland,Dublin,transit,2020-05-15,14.45
276,city,Ireland,Dublin,transit,2020-05-16,14.36
277,city,Ireland,Dublin,transit,2020-05-17,15.78
278,city,Ireland,Dublin,transit,2020-05-18,18.61
279,city,Ireland,Dublin,transit,2020-05-19,19.78
280,city,Ireland,Dublin,transit,2020-05-20,23.56
281,city,Ireland,Dublin,transit,2020-05-21,20.7
282,city,Ireland,Dublin,transit,2020-05-22,16.61
283,city,Ireland,Dublin,transit,2020-05-23,19.13
284,city,Ireland,Dublin,transit,2020-05-24,21.87
285,city,Ireland,Dublin,transit,2020-05-25,22.62
286,city,Ireland,Dublin,transit,2020-05-26,22.47
287,city,Ireland,Dublin,transit,2020-05-27,22.55
288,city,Ireland,Dublin,transit,2020-05-28,27.85
289,city,Ireland,Dublin,transit,2020-05-29,26.82
290,city,Ireland,Dublin,transit,2020-05-30,28.62
291,city,Ireland,Dublin,transit,2020-05-31,27.89
292,city,Ireland,Dublin,transit,2020-06-01,33.38
293,city,Ireland,Dublin,transit,2020-06-02,33.26
294,city,Ireland,Dublin,transit,2020-06-03,21.31
295,city,Ireland,Dublin,transit,2020-06-04,22.65
296,city,Ireland,Dublin,transit,2020-06-05,23.39
297,city,Ireland,Dublin,transit,2020-06-06,22.79
298,city,Ireland,Dublin,transit,2020-06-07,25.24
299,city,Ireland,Dublin,transit,2020-06-08,30.92
300,city,Ireland,Dublin,transit,2020-06-09,27.68
301,city,Ireland,Dublin,transit,2020-06-10,27.82
302,city,Ireland,Dublin,transit,2020-06-11,27.8
303,city,Ireland,Dublin,transit,2020-06-12,27.89
304,city,Ireland,Dublin,transit,2020-06-13,30.03
305,city,Ireland,Dublin,transit,2020-06-14,32.01
306,city,Ireland,Dublin,walking,Unnamed: 0,355.0
307,city,Ireland,Dublin,walking,2020-01-13,100.0
308,city,Ireland,Dublin,walking,2020-01-14,114.17
309,city,Ireland,Dublin,walking,2020-01-15,119.78
310,city,Ireland,Dublin,walking,2020-01-16,123.14
