,CountyName,Date,ConfirmedCovidCases
0,Carlow,27/02/20,0
1,Cavan,27/02/20,0
2,Clare,27/02/20,0
3,Cork,27/02/20,0
4,Donegal,27/02/20,0
5,Dublin,27/02/20,0
6,Galway,27/02/20,0
7,Kerry,27/02/20,0
8,Kildare,27/02/20,0
9,Kilkenny,27/02/20,0
10,Laois,27/02/20,0
11,Leitrim,27/02/20,0
12,Limerick,27/02/20,0
13,Longford,27/02/20,0
14,Louth,27/02/20,0
15,Mayo,27/02/20,0
16,Meath,27/02/20,0
17,Monaghan,27/02/20,0
18,Offaly,27/02/20,0
19,Roscommon,27/02/20,0
20,Sligo,27/02/20,0
21,Tipperary,27/02/20,0
22,Waterford,27/02/20,0
23,Westmeath,27/02/20,0
24,Wexford,27/02/20,0
25,Wicklow,27/02/20,0
26,Carlow,01/03/20,0
27,Cavan,01/03/20,0
28,Clare,01/03/20,0
29,Cork,01/03/20,0
30,Donegal,01/03/20,0
31,Dublin,01/03/20,0
32,Galway,01/03/20,0
33,Kerry,01/03/20,0
34,Kildare,01/03/20,0
35,Kilkenny,01/03/20,0
36,Laois,01/03/20,0
37,Leitrim,01/03/20,0
38,Limerick,01/03/20,0
39,Longford,01/03/20,0
40,Louth,01/03/20,0
41,Mayo,01/03/20,0
42,Meath,01/03/20,0
43,Monaghan,01/03/20,0
44,Offaly,01/03/20,0
45,Roscommon,01/03/20,0
46,Sligo,01/03/20,0
47,Tipperary,01/03/20,0
48,Waterford,01/03/20,0
49,Westmeath,01/03/20,0
50,Wexford,01/03/20,0
51,Wicklow,01/03/20,0
52,Carlow,02/03/20,0
53,Cavan,02/03/20,0
54,Clare,02/03/20,0
55,Cork,02/03/20,0
56,Donegal,02/03/20,0
57,Dublin,02/03/20,0
58,Galway,02/03/20,0
59,Kerry,02/03/20,0
60,Kildare,02/03/20,0
61,Kilkenny,02/03/20,0
62,Laois,02/03/20,0
63,Leitrim,02/03/20,0
64,Limerick,02/03/20,0
65,Longford,02/03/20,0
66,Louth,02/03/20,0
67,Mayo,02/03/20,0
68,Meath,02/03/20,0
69,Monaghan,02/03/20,0
70,Offaly,02/03/20,0
71,Roscommon,02/03/20,0
72,Sligo,02/03/20,0
73,Tipperary,02/03/20,0
74,Waterford,02/03/20,0
75,Westmeath,02/03/20,0
76,Wexford,02/03/20,0
77,Wicklow,02/03/20,0
78,Carlow,03/03/20,0
79,Cavan,03/03/20,0
80,Clare,03/03/20,0
81,Cork,03/03/20,0
82,Donegal,03/03/20,0
83,Dublin,03/03/20,0
84,Galway,03/03/20,0
85,Kerry,03/03/20,0
86,Kildare,03/03/20,0
87,Kilkenny,03/03/20,0
88,Laois,03/03/20,0
89,Leitrim,03/03/20,0
90,Limerick,03/03/20,0
91,Longford,03/03/20,0
92,Louth,03/03/20,0
93,Mayo,03/03/20,0
94,Meath,03/03/20,0
95,Monaghan,03/03/20,0
96,Offaly,03/03/20,0
97,Roscommon,03/03/20,0
98,Sligo,03/03/20,0
99,Tipperary,03/03/20,0
100,Waterford,03/03/20,0
101,Westmeath,03/03/20,0
