,CountyName,Date,ConfirmedCovidCases
5,Dublin,2020-02-27,0
31,Dublin,2020-03-01,0
57,Dublin,2020-03-02,0
83,Dublin,2020-03-03,0
109,Dublin,2020-03-04,0
135,Dublin,2020-03-05,0
161,Dublin,2020-03-06,0
187,Dublin,2020-03-07,0
213,Dublin,2020-03-08,0
239,Dublin,2020-03-09,0
265,Dublin,2020-03-10,0
291,Dublin,2020-03-11,0
317,Dublin,2020-03-12,0
343,Dublin,2020-03-13,0
369,Dublin,2020-03-14,0
395,Dublin,2020-03-15,0
421,Dublin,2020-03-16,0
447,Dublin,2020-03-17,0
473,Dublin,2020-03-18,0
499,Dublin,2020-03-19,0
525,Dublin,2020-03-20,0
551,Dublin,2020-03-21,471
577,Dublin,2020-03-22,535
603,Dublin,2020-03-23,659
629,Dublin,2020-03-24,774
655,Dublin,2020-03-25,922
681,Dublin,2020-03-26,1070
707,Dublin,2020-03-27,1233
733,Dublin,2020-03-28,1393
759,Dublin,2020-03-29,1487
785,Dublin,2020-03-30,1645
811,Dublin,2020-03-31,1838
837,Dublin,2020-04-01,2077
863,Dublin,2020-04-02,2251
889,Dublin,2020-04-03,2490
915,Dublin,2020-04-04,2692
941,Dublin,2020-04-05,3061
967,Dublin,2020-04-06,3268
993,Dublin,2020-04-07,3557
1019,Dublin,2020-04-08,3873
1045,Dublin,2020-04-09,4156
1071,Dublin,2020-04-10,4514
1097,Dublin,2020-04-11,5006
1123,Dublin,2020-04-12,5438
1149,Dublin,2020-04-13,5850
1175,Dublin,2020-04-14,6337
1201,Dublin,2020-04-15,6567
1227,Dublin,2020-04-16,6934
1253,Dublin,2020-04-17,7379
1279,Dublin,2020-04-18,7666
1305,Dublin,2020-04-19,7781
1331,Dublin,2020-04-20,7905
1357,Dublin,2020-04-21,8216
1383,Dublin,2020-04-22,8729
1409,Dublin,2020-04-23,9010
1435,Dublin,2020-04-24,9224
1461,Dublin,2020-04-25,9532
1487,Dublin,2020-04-26,9624
1513,Dublin,2020-04-27,9751
1539,Dublin,2020-04-28,9967
1565,Dublin,2020-04-29,10170
1591,Dublin,2020-04-30,10277
1617,Dublin,2020-05-01,10406
1643,Dublin,2020-05-02,10561
1669,Dublin,2020-05-03,10670
1695,Dublin,2020-05-04,10734
1721,Dublin,2020-05-05,10840
1747,Dublin,2020-05-06,10885
1773,Dublin,2020-05-07,10948
1799,Dublin,2020-05-08,11068
1825,Dublin,2020-05-09,11175
1851,Dublin,2020-05-10,11235
1877,Dublin,2020-05-11,11242
1903,Dublin,2020-05-12,11308
1929,Dublin,2020-05-13,11557
1955,Dublin,2020-05-14,11557
1981,Dublin,2020-05-15,11666
2007,Dublin,2020-05-16,11693
2033,Dublin,2020-05-17,11759
2059,Dublin,2020-05-18,11733
2085,Dublin,2020-05-19,11765
2111,Dublin,2020-05-20,11794
2137,Dublin,2020-05-21,11830
2163,Dublin,2020-05-22,11873
2189,Dublin,2020-05-23,11876
2215,Dublin,2020-05-24,11894
2241,Dublin,2020-05-25,11961
2267,Dublin,2020-05-26,11996
2293,Dublin,2020-05-27,12023
2319,Dublin,2020-05-28,12031
2345,Dublin,2020-05-29,12042
2371,Dublin,2020-05-30,12052
2397,Dublin,2020-05-31,12090
2423,Dublin,2020-06-01,12093
2449,Dublin,2020-06-02,12109
2475,Dublin,2020-06-03,12118
2501,Dublin,2020-06-04,12127
2527,Dublin,2020-06-05,12139
2553,Dublin,2020-06-06,12158
2579,Dublin,2020-06-07,12159
2605,Dublin,2020-06-08,12163
2631,Dublin,2020-06-09,12167
2657,Dublin,2020-06-10,12172
2683,Dublin,2020-06-11,12179
2709,Dublin,2020-06-12,12210
2735,Dublin,2020-06-13,12213
2761,Dublin,2020-06-14,12228
2787,Dublin,2020-06-15,12235
