,date,stringency
0,2020-01-02,0.0
1,2020-01-03,0.0
2,2020-01-04,0.0
3,2020-01-05,0.0
4,2020-01-06,0.0
5,2020-01-07,0.0
6,2020-01-08,0.0
7,2020-01-09,0.0
8,2020-01-10,0.0
9,2020-01-11,0.0
10,2020-01-12,0.0
11,2020-01-13,0.0
12,2020-01-14,0.0
13,2020-01-15,0.0
14,2020-01-16,0.0
15,2020-01-17,0.0
16,2020-01-18,0.0
17,2020-01-19,0.0
18,2020-01-20,0.0
19,2020-01-21,0.0
20,2020-01-22,0.0
21,2020-01-23,0.0
22,2020-01-24,0.0
23,2020-01-25,0.0
24,2020-01-26,0.0
25,2020-01-27,0.0
26,2020-01-28,0.0
27,2020-01-29,0.0
28,2020-01-30,0.0
29,2020-01-31,0.0
30,2020-02-01,0.0
31,2020-02-02,0.0
32,2020-02-03,0.0
33,2020-02-04,5.56
34,2020-02-05,5.56
35,2020-02-06,5.56
36,2020-02-07,5.56
37,2020-02-08,5.56
38,2020-02-09,5.56
39,2020-02-10,5.56
40,2020-02-11,5.56
41,2020-02-12,5.56
42,2020-02-13,5.56
43,2020-02-14,5.56
44,2020-02-15,5.56
45,2020-02-16,5.56
46,2020-02-17,5.56
47,2020-02-18,5.56
48,2020-02-19,5.56
49,2020-02-20,5.56
50,2020-02-21,5.56
51,2020-02-22,5.56
52,2020-02-23,5.56
53,2020-02-24,5.56
54,2020-02-25,5.56
55,2020-02-26,5.56
56,2020-02-27,5.56
57,2020-02-28,5.56
58,2020-02-29,11.11
59,2020-03-01,11.11
60,2020-03-02,11.11
61,2020-03-03,11.11
62,2020-03-04,11.11
63,2020-03-05,11.11
64,2020-03-06,11.11
65,2020-03-07,11.11
66,2020-03-08,11.11
67,2020-03-09,11.11
68,2020-03-10,11.11
69,2020-03-11,11.11
70,2020-03-12,31.48
71,2020-03-13,42.59
72,2020-03-14,42.59
73,2020-03-15,48.15
74,2020-03-16,48.15
75,2020-03-17,48.15
76,2020-03-18,48.15
77,2020-03-19,48.15
78,2020-03-20,48.15
79,2020-03-21,48.15
80,2020-03-22,48.15
81,2020-03-23,48.15
82,2020-03-24,48.15
83,2020-03-25,48.15
84,2020-03-26,57.41
85,2020-03-27,75.93
86,2020-03-28,85.19
87,2020-03-29,85.19
88,2020-03-30,85.19
89,2020-03-31,85.19
90,2020-04-01,85.19
91,2020-04-02,85.19
92,2020-04-03,85.19
93,2020-04-04,85.19
94,2020-04-05,85.19
95,2020-04-06,90.74
96,2020-04-07,90.74
97,2020-04-08,90.74
98,2020-04-09,90.74
99,2020-04-10,90.74
100,2020-04-11,90.74
101,2020-04-12,90.74
102,2020-04-13,90.74
103,2020-04-14,90.74
104,2020-04-15,90.74
105,2020-04-16,90.74
106,2020-04-17,90.74
107,2020-04-18,90.74
108,2020-04-19,90.74
109,2020-04-20,90.74
110,2020-04-21,90.74
111,2020-04-22,90.74
112,2020-04-23,90.74
113,2020-04-24,90.74
114,2020-04-25,90.74
115,2020-04-26,90.74
116,2020-04-27,90.74
117,2020-04-28,90.74
118,2020-04-29,90.74
119,2020-04-30,90.74
120,2020-05-01,90.74
121,2020-05-02,90.74
122,2020-05-03,90.74
123,2020-05-04,90.74
124,2020-05-05,90.74
125,2020-05-06,90.74
126,2020-05-07,90.74
127,2020-05-08,90.74
128,2020-05-09,90.74
129,2020-05-10,90.74
130,2020-05-11,90.74
131,2020-05-12,90.74
132,2020-05-13,90.74
133,2020-05-14,90.74
134,2020-05-15,90.74
135,2020-05-16,90.74
136,2020-05-17,90.74
137,2020-05-18,77.78
138,2020-05-19,77.78
139,2020-05-20,77.78
140,2020-05-21,77.78
141,2020-05-22,77.78
142,2020-05-23,77.78
143,2020-05-24,77.78
144,2020-05-25,77.78
145,2020-05-26,77.78
146,2020-05-27,77.78
147,2020-05-28,77.78
148,2020-05-29,77.78
149,2020-05-30,77.78
150,2020-05-31,77.78
151,2020-06-01,77.78
152,2020-06-02,77.78
153,2020-06-03,77.78
154,2020-06-04,77.78
155,2020-06-05,77.78
156,,
157,,
158,,
159,,
