site_name,location,date,time,count
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-01,00:00:00,787
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-01,01:00:00,963
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-01,02:00:00,685
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-01,03:00:00,620
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-01,04:00:00,584
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-01,05:00:00,604
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-01,06:00:00,704
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-01,07:00:00,876
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-01,08:00:00,974
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-01,09:00:00,896
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-01,10:00:00,1102
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-01,11:00:00,1480
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-01,12:00:00,1595
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-01,13:00:00,2023
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-01,14:00:00,2233
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-01,15:00:00,2123
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-01,16:00:00,2114
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-01,17:00:00,2030
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-01,18:00:00,1896
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-01,19:00:00,1705
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-01,20:00:00,1334
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-01,21:00:00,1158
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-01,22:00:00,1043
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-01,23:00:00,742
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-02,00:00:00,472
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-02,01:00:00,206
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-02,02:00:00,172
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-02,03:00:00,318
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-02,04:00:00,805
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-02,05:00:00,1054
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-02,06:00:00,1718
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-02,07:00:00,1969
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-02,08:00:00,2034
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-02,09:00:00,1953
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-02,10:00:00,2024
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-02,11:00:00,2168
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-02,12:00:00,2346
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-02,13:00:00,2523
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-02,14:00:00,2354
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-02,15:00:00,2410
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-02,16:00:00,2680
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-02,17:00:00,2604
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-02,18:00:00,2229
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-02,19:00:00,1914
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-02,20:00:00,1615
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-02,21:00:00,1111
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-02,22:00:00,1267
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-02,23:00:00,1031
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-03,00:00:00,689
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-03,01:00:00,314
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-03,02:00:00,206
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-03,03:00:00,364
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-03,04:00:00,845
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-03,05:00:00,1101
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-03,06:00:00,1815
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-03,07:00:00,1998
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-03,08:00:00,2176
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-03,09:00:00,2164
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-03,10:00:00,2179
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-03,11:00:00,2270
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-03,12:00:00,2498
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-03,13:00:00,2550
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-03,14:00:00,2542
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-03,15:00:00,2673
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-03,16:00:00,2742
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-03,17:00:00,2688
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-03,18:00:00,2500
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-03,19:00:00,2085
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-03,20:00:00,1657
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-03,21:00:00,1273
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-03,22:00:00,1241
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-03,23:00:00,1011
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-04,00:00:00,688
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-04,01:00:00,395
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-04,02:00:00,268
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-04,03:00:00,391
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-04,04:00:00,821
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-04,05:00:00,861
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-04,06:00:00,988
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-04,07:00:00,1229
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-04,08:00:00,1538
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-04,09:00:00,1895
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-04,10:00:00,1936
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-04,11:00:00,2332
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-04,12:00:00,2592
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-04,13:00:00,2487
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-04,14:00:00,2558
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-04,15:00:00,2553
