,date,tempC
0,2020-01-01,9
1,2020-01-02,11
2,2020-01-03,8
3,2020-01-04,9
4,2020-01-05,10
5,2020-01-06,10
6,2020-01-07,13
7,2020-01-08,9
8,2020-01-09,5
9,2020-01-10,8
10,2020-01-11,11
11,2020-01-12,7
12,2020-01-13,9
13,2020-01-14,6
14,2020-01-15,7
15,2020-01-16,10
16,2020-01-17,6
17,2020-01-18,7
18,2020-01-19,8
19,2020-01-20,8
20,2020-01-21,8
21,2020-01-22,9
22,2020-01-23,10
23,2020-01-24,9
24,2020-01-25,9
25,2020-01-26,7
26,2020-01-27,5
27,2020-01-28,5
28,2020-01-29,9
29,2020-01-30,13
30,2020-01-31,11
31,2020-02-01,9
32,2020-02-02,10
33,2020-02-03,7
34,2020-02-04,8
35,2020-02-05,9
36,2020-02-06,8
37,2020-02-07,10
38,2020-02-08,9
39,2020-02-09,12
40,2020-02-10,5
41,2020-02-11,5
42,2020-02-12,7
43,2020-02-13,10
44,2020-02-14,10
45,2020-02-15,10
46,2020-02-16,6
47,2020-02-17,6
48,2020-02-18,7
49,2020-02-19,9
50,2020-02-20,5
51,2020-02-21,10
52,2020-02-22,9
53,2020-02-23,10
54,2020-02-24,11
55,2020-02-25,4
56,2020-02-26,6
57,2020-02-27,7
58,2020-02-28,11
59,2020-02-29,5
60,2020-03-01,7
61,2020-03-02,6
62,2020-03-03,8
63,2020-03-04,6
64,2020-03-05,8
65,2020-03-06,8
66,2020-03-07,10
67,2020-03-08,9
68,2020-03-09,11
69,2020-03-10,12
70,2020-03-11,8
71,2020-03-12,8
72,2020-03-13,8
73,2020-03-14,10
74,2020-03-15,9
75,2020-03-16,9
76,2020-03-17,11
77,2020-03-18,7
78,2020-03-19,8
79,2020-03-20,9
80,2020-03-21,7
81,2020-03-22,8
82,2020-03-23,9
83,2020-03-24,10
84,2020-03-25,13
85,2020-03-26,13
86,2020-03-27,12
87,2020-03-28,11
88,2020-03-29,8
89,2020-03-30,9
90,2020-03-31,10
91,2020-04-01,8
92,2020-04-02,10
93,2020-04-03,11
94,2020-04-04,11
95,2020-04-05,11
96,2020-04-06,12
97,2020-04-07,11
98,2020-04-08,14
99,2020-04-09,14
100,2020-04-10,16
101,2020-04-11,18
102,2020-04-12,8
103,2020-04-13,11
104,2020-04-14,10
105,2020-04-15,12
106,2020-04-16,13
107,2020-04-17,12
108,2020-04-18,9
109,2020-04-19,11
110,2020-04-20,13
111,2020-04-21,12
112,2020-04-22,15
113,2020-04-23,15
114,2020-04-24,16
115,2020-04-25,15
116,2020-04-26,13
117,2020-04-27,9
118,2020-04-28,11
119,2020-04-29,11
120,2020-04-30,12
121,2020-05-01,12
122,2020-05-02,13
123,2020-05-03,11
124,2020-05-04,13
125,2020-05-05,10
126,2020-05-06,10
127,2020-05-07,15
128,2020-05-08,16
129,2020-05-09,17
130,2020-05-10,15
131,2020-05-11,10
132,2020-05-12,11
133,2020-05-13,12
134,2020-05-14,12
135,2020-05-15,13
136,2020-05-16,13
137,2020-05-17,13
138,2020-05-18,16
139,2020-05-19,17
140,2020-05-20,15
141,2020-05-21,14
142,2020-05-22,14
143,2020-05-23,14
144,2020-05-24,15
145,2020-05-25,15
146,2020-05-26,18
147,2020-05-27,18
148,2020-05-28,18
149,2020-05-29,17
150,2020-05-30,17
151,2020-05-31,17
152,2020-06-01,18
153,2020-06-02,22
154,2020-06-03,16
155,2020-06-04,14
156,2020-06-05,15
157,2020-06-06,13
158,2020-06-07,16
159,2020-06-08,15
160,2020-06-09,14
161,2020-06-10,15
162,2020-06-11,15
163,2020-06-12,16
164,2020-06-13,18
