,date,tempC
0,2020-01-01,7
1,2020-01-02,11
2,2020-01-03,6
3,2020-01-04,8
4,2020-01-05,10
5,2020-01-06,9
6,2020-01-07,14
7,2020-01-08,7
8,2020-01-09,5
9,2020-01-10,6
10,2020-01-11,13
11,2020-01-12,7
12,2020-01-13,9
13,2020-01-14,5
14,2020-01-15,7
15,2020-01-16,10
16,2020-01-17,5
17,2020-01-18,5
18,2020-01-19,6
19,2020-01-20,7
20,2020-01-21,7
21,2020-01-22,10
22,2020-01-23,9
23,2020-01-24,8
24,2020-01-25,9
25,2020-01-26,9
26,2020-01-27,6
27,2020-01-28,5
28,2020-01-29,8
29,2020-01-30,12
30,2020-01-31,14
31,2020-02-01,10
32,2020-02-02,10
33,2020-02-03,7
34,2020-02-04,8
35,2020-02-05,8
36,2020-02-06,8
37,2020-02-07,9
38,2020-02-08,9
39,2020-02-09,13
40,2020-02-10,5
41,2020-02-11,4
42,2020-02-12,6
43,2020-02-13,7
44,2020-02-14,10
45,2020-02-15,11
46,2020-02-16,7
47,2020-02-17,7
48,2020-02-18,7
49,2020-02-19,10
50,2020-02-20,7
51,2020-02-21,10
52,2020-02-22,7
53,2020-02-23,8
54,2020-02-24,11
55,2020-02-25,5
56,2020-02-26,5
57,2020-02-27,7
58,2020-02-28,12
59,2020-02-29,5
60,2020-03-01,6
61,2020-03-02,6
62,2020-03-03,8
63,2020-03-04,5
64,2020-03-05,7
65,2020-03-06,7
66,2020-03-07,11
67,2020-03-08,9
68,2020-03-09,9
69,2020-03-10,11
70,2020-03-11,9
71,2020-03-12,8
72,2020-03-13,9
73,2020-03-14,9
74,2020-03-15,9
75,2020-03-16,9
76,2020-03-17,11
77,2020-03-18,7
78,2020-03-19,7
79,2020-03-20,7
80,2020-03-21,8
81,2020-03-22,7
82,2020-03-23,10
83,2020-03-24,12
84,2020-03-25,13
85,2020-03-26,10
86,2020-03-27,9
87,2020-03-28,8
88,2020-03-29,5
89,2020-03-30,8
90,2020-03-31,8
91,2020-04-01,8
92,2020-04-02,11
93,2020-04-03,9
94,2020-04-04,10
95,2020-04-05,12
96,2020-04-06,11
97,2020-04-07,11
98,2020-04-08,13
99,2020-04-09,13
100,2020-04-10,16
101,2020-04-11,15
102,2020-04-12,10
103,2020-04-13,7
104,2020-04-14,10
105,2020-04-15,11
106,2020-04-16,10
107,2020-04-17,11
108,2020-04-18,10
109,2020-04-19,11
110,2020-04-20,10
111,2020-04-21,11
112,2020-04-22,10
113,2020-04-23,11
114,2020-04-24,13
115,2020-04-25,13
116,2020-04-26,11
117,2020-04-27,9
118,2020-04-28,10
119,2020-04-29,11
120,2020-04-30,9
121,2020-05-01,12
122,2020-05-02,12
123,2020-05-03,11
124,2020-05-04,10
125,2020-05-05,11
126,2020-05-06,11
127,2020-05-07,15
128,2020-05-08,14
129,2020-05-09,15
130,2020-05-10,11
131,2020-05-11,7
132,2020-05-12,10
133,2020-05-13,8
134,2020-05-14,10
135,2020-05-15,11
136,2020-05-16,13
137,2020-05-17,15
138,2020-05-18,15
139,2020-05-19,16
140,2020-05-20,16
141,2020-05-21,15
142,2020-05-22,15
143,2020-05-23,13
144,2020-05-24,16
145,2020-05-25,16
146,2020-05-26,16
147,2020-05-27,15
148,2020-05-28,18
149,2020-05-29,16
150,2020-05-30,16
151,2020-05-31,17
152,2020-06-01,17
153,2020-06-02,19
154,2020-06-03,13
155,2020-06-04,13
156,2020-06-05,12
157,2020-06-06,13
158,2020-06-07,14
159,2020-06-08,13
160,2020-06-09,13
161,2020-06-10,12
162,2020-06-11,12
163,2020-06-12,13
164,2020-06-13,15
