,date,time,tempC
0,2020-01-01,0,8
1,2020-01-01,100,7
2,2020-01-01,200,7
3,2020-01-01,300,7
4,2020-01-01,400,6
5,2020-01-01,500,6
6,2020-01-01,600,6
7,2020-01-01,700,5
8,2020-01-01,800,5
9,2020-01-01,900,4
10,2020-01-01,1000,5
11,2020-01-01,1100,6
12,2020-01-01,1200,7
13,2020-01-01,1300,7
14,2020-01-01,1400,7
15,2020-01-01,1500,7
16,2020-01-01,1600,6
17,2020-01-01,1700,6
18,2020-01-01,1800,5
19,2020-01-01,1900,4
20,2020-01-01,2000,3
21,2020-01-01,2100,1
22,2020-01-01,2200,3
23,2020-01-01,2300,6
24,2020-01-02,0,8
25,2020-01-02,100,8
26,2020-01-02,200,8
27,2020-01-02,300,9
28,2020-01-02,400,9
29,2020-01-02,500,9
30,2020-01-02,600,9
31,2020-01-02,700,9
32,2020-01-02,800,9
33,2020-01-02,900,10
34,2020-01-02,1000,10
35,2020-01-02,1100,11
36,2020-01-02,1200,11
37,2020-01-02,1300,11
38,2020-01-02,1400,12
39,2020-01-02,1500,12
40,2020-01-02,1600,11
41,2020-01-02,1700,11
42,2020-01-02,1800,11
43,2020-01-02,1900,10
44,2020-01-02,2000,10
45,2020-01-02,2100,10
46,2020-01-02,2200,10
47,2020-01-02,2300,9
48,2020-01-03,0,9
49,2020-01-03,100,8
50,2020-01-03,200,7
51,2020-01-03,300,6
52,2020-01-03,400,6
53,2020-01-03,500,6
54,2020-01-03,600,6
55,2020-01-03,700,6
56,2020-01-03,800,6
57,2020-01-03,900,6
58,2020-01-03,1000,6
59,2020-01-03,1100,6
60,2020-01-03,1200,7
61,2020-01-03,1300,7
62,2020-01-03,1400,7
63,2020-01-03,1500,7
64,2020-01-03,1600,7
65,2020-01-03,1700,7
66,2020-01-03,1800,7
67,2020-01-03,1900,6
68,2020-01-03,2000,6
69,2020-01-03,2100,6
70,2020-01-03,2200,6
71,2020-01-03,2300,6
72,2020-01-04,0,6
73,2020-01-04,100,6
74,2020-01-04,200,7
75,2020-01-04,300,7
76,2020-01-04,400,7
77,2020-01-04,500,7
78,2020-01-04,600,7
79,2020-01-04,700,7
80,2020-01-04,800,7
81,2020-01-04,900,7
82,2020-01-04,1000,8
83,2020-01-04,1100,8
84,2020-01-04,1200,9
85,2020-01-04,1300,9
86,2020-01-04,1400,9
87,2020-01-04,1500,9
88,2020-01-04,1600,8
89,2020-01-04,1700,8
90,2020-01-04,1800,8
91,2020-01-04,1900,7
92,2020-01-04,2000,7
93,2020-01-04,2100,7
94,2020-01-04,2200,7
95,2020-01-04,2300,8
96,2020-01-05,0,8
97,2020-01-05,100,8
98,2020-01-05,200,8
99,2020-01-05,300,8
100,2020-01-05,400,8
101,2020-01-05,500,8
102,2020-01-05,600,8
103,2020-01-05,700,8
104,2020-01-05,800,8
105,2020-01-05,900,8
106,2020-01-05,1000,9
107,2020-01-05,1100,10
108,2020-01-05,1200,11
109,2020-01-05,1300,11
110,2020-01-05,1400,11
111,2020-01-05,1500,10
112,2020-01-05,1600,10
113,2020-01-05,1700,10
114,2020-01-05,1800,10
115,2020-01-05,1900,9
116,2020-01-05,2000,9
117,2020-01-05,2100,8
118,2020-01-05,2200,8
119,2020-01-05,2300,8
120,2020-01-06,0,8
121,2020-01-06,100,8
122,2020-01-06,200,8
123,2020-01-06,300,8
124,2020-01-06,400,9
125,2020-01-06,500,9
126,2020-01-06,600,9
127,2020-01-06,700,10
128,2020-01-06,800,10
129,2020-01-06,900,10
130,2020-01-06,1000,10
131,2020-01-06,1100,9
132,2020-01-06,1200,9
133,2020-01-06,1300,9
134,2020-01-06,1400,9
135,2020-01-06,1500,9
136,2020-01-06,1600,8
137,2020-01-06,1700,8
138,2020-01-06,1800,7
139,2020-01-06,1900,7
140,2020-01-06,2000,7
141,2020-01-06,2100,6
142,2020-01-06,2200,7
143,2020-01-06,2300,7
144,2020-01-07,0,7
145,2020-01-07,100,7
146,2020-01-07,200,8
147,2020-01-07,300,8
148,2020-01-07,400,9
149,2020-01-07,500,9
150,2020-01-07,600,10
151,2020-01-07,700,10
152,2020-01-07,800,11
153,2020-01-07,900,12
154,2020-01-07,1000,12
155,2020-01-07,1100,13
156,2020-01-07,1200,13
157,2020-01-07,1300,13
158,2020-01-07,1400,13
159,2020-01-07,1500,14
160,2020-01-07,1600,13
161,2020-01-07,1700,13
162,2020-01-07,1800,13
163,2020-01-07,1900,12
164,2020-01-07,2000,11
165,2020-01-07,2100,10
166,2020-01-07,2200,10
167,2020-01-07,2300,9
168,2020-01-08,0,9
169,2020-01-08,100,8
170,2020-01-08,200,8
171,2020-01-08,300,7
172,2020-01-08,400,7
173,2020-01-08,500,7
174,2020-01-08,600,7
175,2020-01-08,700,7
176,2020-01-08,800,7
177,2020-01-08,900,7
178,2020-01-08,1000,7
179,2020-01-08,1100,7
180,2020-01-08,1200,8
181,2020-01-08,1300,8
182,2020-01-08,1400,8
183,2020-01-08,1500,8
184,2020-01-08,1600,7
185,2020-01-08,1700,6
186,2020-01-08,1800,6
187,2020-01-08,1900,5
188,2020-01-08,2000,5
189,2020-01-08,2100,5
190,2020-01-08,2200,6
191,2020-01-08,2300,6
192,2020-01-09,0,6
193,2020-01-09,100,6
194,2020-01-09,200,6
195,2020-01-09,300,6
196,2020-01-09,400,6
197,2020-01-09,500,6
198,2020-01-09,600,5
199,2020-01-09,700,5
200,2020-01-09,800,5
201,2020-01-09,900,5
202,2020-01-09,1000,5
203,2020-01-09,1100,5
204,2020-01-09,1200,5
205,2020-01-09,1300,5
206,2020-01-09,1400,5
207,2020-01-09,1500,6
208,2020-01-09,1600,5
209,2020-01-09,1700,5
210,2020-01-09,1800,5
211,2020-01-09,1900,4
212,2020-01-09,2000,4
213,2020-01-09,2100,4
214,2020-01-09,2200,4
215,2020-01-09,2300,4
216,2020-01-10,0,3
217,2020-01-10,100,4
218,2020-01-10,200,4
219,2020-01-10,300,5
220,2020-01-10,400,4
221,2020-01-10,500,4
222,2020-01-10,600,3
223,2020-01-10,700,3
224,2020-01-10,800,3
225,2020-01-10,900,3
226,2020-01-10,1000,4
227,2020-01-10,1100,5
228,2020-01-10,1200,6
229,2020-01-10,1300,6
230,2020-01-10,1400,7
231,2020-01-10,1500,7
232,2020-01-10,1600,6
233,2020-01-10,1700,4
234,2020-01-10,1800,3
235,2020-01-10,1900,2
236,2020-01-10,2000,0
237,2020-01-10,2100,-1
238,2020-01-10,2200,3
239,2020-01-10,2300,6
240,2020-01-11,0,10
241,2020-01-11,100,10
242,2020-01-11,200,11
243,2020-01-11,300,11
244,2020-01-11,400,11
245,2020-01-11,500,12
246,2020-01-11,600,12
247,2020-01-11,700,12
248,2020-01-11,800,12
249,2020-01-11,900,13
250,2020-01-11,1000,13
251,2020-01-11,1100,13
252,2020-01-11,1200,13
253,2020-01-11,1300,12
254,2020-01-11,1400,10
255,2020-01-11,1500,9
256,2020-01-11,1600,9
257,2020-01-11,1700,9
258,2020-01-11,1800,9
259,2020-01-11,1900,9
260,2020-01-11,2000,9
261,2020-01-11,2100,8
262,2020-01-11,2200,8
263,2020-01-11,2300,7
264,2020-01-12,0,7
265,2020-01-12,100,7
266,2020-01-12,200,7
267,2020-01-12,300,7
268,2020-01-12,400,6
269,2020-01-12,500,6
270,2020-01-12,600,6
271,2020-01-12,700,6
272,2020-01-12,800,7
273,2020-01-12,900,7
274,2020-01-12,1000,7
275,2020-01-12,1100,7
276,2020-01-12,1200,7
277,2020-01-12,1300,7
278,2020-01-12,1400,7
279,2020-01-12,1500,7
280,2020-01-12,1600,6
281,2020-01-12,1700,6
282,2020-01-12,1800,5
283,2020-01-12,1900,5
284,2020-01-12,2000,5
285,2020-01-12,2100,5
286,2020-01-12,2200,5
287,2020-01-12,2300,5
288,2020-01-13,0,5
289,2020-01-13,100,5
290,2020-01-13,200,6
291,2020-01-13,300,6
292,2020-01-13,400,6
293,2020-01-13,500,6
294,2020-01-13,600,7
295,2020-01-13,700,7
296,2020-01-13,800,8
297,2020-01-13,900,8
298,2020-01-13,1000,8
299,2020-01-13,1100,9
300,2020-01-13,1200,9
301,2020-01-13,1300,8
302,2020-01-13,1400,8
303,2020-01-13,1500,7
304,2020-01-13,1600,7
305,2020-01-13,1700,7
306,2020-01-13,1800,6
307,2020-01-13,1900,6
308,2020-01-13,2000,5
309,2020-01-13,2100,5
310,2020-01-13,2200,5
311,2020-01-13,2300,5
312,2020-01-14,0,4
313,2020-01-14,100,5
314,2020-01-14,200,5
315,2020-01-14,300,5
316,2020-01-14,400,5
317,2020-01-14,500,5
318,2020-01-14,600,5
319,2020-01-14,700,6
320,2020-01-14,800,6
321,2020-01-14,900,6
322,2020-01-14,1000,6
323,2020-01-14,1100,6
324,2020-01-14,1200,6
325,2020-01-14,1300,6
326,2020-01-14,1400,6
