,date,tempC
0,2020-01-01,8
1,2020-01-02,11
2,2020-01-03,9
3,2020-01-04,10
4,2020-01-05,11
5,2020-01-06,10
6,2020-01-07,13
7,2020-01-08,8
8,2020-01-09,5
9,2020-01-10,8
10,2020-01-11,12
11,2020-01-12,8
12,2020-01-13,9
13,2020-01-14,6
14,2020-01-15,8
15,2020-01-16,10
16,2020-01-17,7
17,2020-01-18,6
18,2020-01-19,7
19,2020-01-20,8
20,2020-01-21,10
21,2020-01-22,10
22,2020-01-23,9
23,2020-01-24,9
24,2020-01-25,9
25,2020-01-26,7
26,2020-01-27,6
27,2020-01-28,6
28,2020-01-29,9
29,2020-01-30,11
30,2020-01-31,11
31,2020-02-01,10
32,2020-02-02,10
33,2020-02-03,7
34,2020-02-04,8
35,2020-02-05,8
36,2020-02-06,9
37,2020-02-07,11
38,2020-02-08,8
39,2020-02-09,11
40,2020-02-10,6
41,2020-02-11,5
42,2020-02-12,7
43,2020-02-13,8
44,2020-02-14,10
45,2020-02-15,10
46,2020-02-16,7
47,2020-02-17,7
48,2020-02-18,7
49,2020-02-19,10
50,2020-02-20,6
51,2020-02-21,10
52,2020-02-22,7
53,2020-02-23,7
54,2020-02-24,10
55,2020-02-25,5
56,2020-02-26,6
57,2020-02-27,7
58,2020-02-28,10
59,2020-02-29,5
60,2020-03-01,6
61,2020-03-02,7
62,2020-03-03,8
63,2020-03-04,8
64,2020-03-05,7
65,2020-03-06,8
66,2020-03-07,10
67,2020-03-08,8
68,2020-03-09,10
69,2020-03-10,10
70,2020-03-11,8
71,2020-03-12,8
72,2020-03-13,8
73,2020-03-14,10
74,2020-03-15,9
75,2020-03-16,9
76,2020-03-17,10
77,2020-03-18,7
78,2020-03-19,9
79,2020-03-20,9
80,2020-03-21,6
81,2020-03-22,9
82,2020-03-23,11
83,2020-03-24,13
84,2020-03-25,10
85,2020-03-26,11
86,2020-03-27,12
87,2020-03-28,11
88,2020-03-29,8
89,2020-03-30,10
90,2020-03-31,9
91,2020-04-01,9
92,2020-04-02,9
93,2020-04-03,10
94,2020-04-04,10
95,2020-04-05,13
96,2020-04-06,10
97,2020-04-07,13
98,2020-04-08,13
99,2020-04-09,16
100,2020-04-10,15
101,2020-04-11,12
102,2020-04-12,10
103,2020-04-13,11
104,2020-04-14,11
105,2020-04-15,14
106,2020-04-16,13
107,2020-04-17,15
108,2020-04-18,13
109,2020-04-19,13
110,2020-04-20,14
111,2020-04-21,14
112,2020-04-22,14
113,2020-04-23,15
114,2020-04-24,15
115,2020-04-25,16
116,2020-04-26,10
117,2020-04-27,11
118,2020-04-28,12
119,2020-04-29,11
120,2020-04-30,11
121,2020-05-01,11
122,2020-05-02,12
123,2020-05-03,14
124,2020-05-04,14
125,2020-05-05,15
126,2020-05-06,15
127,2020-05-07,15
128,2020-05-08,16
129,2020-05-09,17
130,2020-05-10,13
131,2020-05-11,11
132,2020-05-12,10
133,2020-05-13,11
134,2020-05-14,12
135,2020-05-15,12
136,2020-05-16,12
137,2020-05-17,13
138,2020-05-18,14
139,2020-05-19,15
140,2020-05-20,17
141,2020-05-21,16
142,2020-05-22,13
143,2020-05-23,12
144,2020-05-24,13
145,2020-05-25,15
146,2020-05-26,14
147,2020-05-27,19
148,2020-05-28,21
149,2020-05-29,20
150,2020-05-30,20
151,2020-05-31,20
152,2020-06-01,21
153,2020-06-02,18
154,2020-06-03,16
155,2020-06-04,15
156,2020-06-05,13
157,2020-06-06,12
158,2020-06-07,13
159,2020-06-08,14
160,2020-06-09,14
161,2020-06-10,13
162,2020-06-11,16
163,2020-06-12,15
164,2020-06-13,17
