date,time,tempC,tempF,windspeedMiles,windspeedKmph,winddirdegree,winddir16point,weatherCode,weatherIconUrl,weatherDesc,precipMM,humidity,visibilityKm,pressureMB,cloudcover,HeatIndexC,HeatIndexF,DewPointC,DewPointF,WindChillC,WindChillF,WindGustMiles,WindGustKmph,FeelsLikeC,FeelsLikeF,,,
01/01/2020,24,9,49,7,11,189,S,122,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0,0,91,10,6,1025,31,73,8,46,6,43,6,42,12,19,6,"42
"
02/01/2020,24,11,52,18,29,217,SW,353,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Light rain shower,0.9,0,91,9,5,1010,30,90,10,50,9,47,6,44,29,47,6,"44
"
03/01/2020,24,8,46,10,16,285,WNW,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0.4,0,82,9,5,1026,31,33,6,42,3,37,3,37,18,28,3,"37
"
04/01/2020,24,9,48,10,16,222,SW,119,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0003_white_cloud.png,Cloudy,0,0,85,10,6,1034,31,76,7,45,5,41,5,40,16,26,5,"40
"
05/01/2020,24,10,50,15,24,205,SSW,122,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0.2,0,90,10,6,1028,31,91,9,48,7,45,5,42,24,38,5,"42
"
06/01/2020,24,10,51,17,27,254,WSW,302,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0018_cloudy_with_heavy_rain.png,Moderate rain,6,0.2,85,10,5,1015,30,60,8,47,6,43,5,41,27,44,5,"41
"
07/01/2020,24,13,55,19,30,224,SW,266,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0017_cloudy_with_light_rain.png,Light drizzle,0.7,0,89,9,5,1014,30,87,11,52,9,48,8,46,30,49,8,"46
"
08/01/2020,24,9,47,6,9,203,SSW,122,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,1.6,0.1,87,10,6,1019,31,65,7,44,5,41,5,41,10,16,5,"41
"
09/01/2020,24,5,40,8,14,258,WSW,176,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,3.7,0.1,93,6,3,1007,30,69,4,38,3,37,0,33,14,22,0,"33
"
10/01/2020,24,8,47,14,22,210,SSW,122,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0,0,84,10,6,1021,31,67,5,41,3,38,2,35,23,38,2,"35
"
